	Course	Title	Description
100	CS101	Introduction to Computing Principles	 
100	CS103	Mathematical Foundations of Computing	Prerequisite: CS106A or equivalent.
100	CS105	Introduction to Computers	Prerequisite: minimal math skills.
100	CS106A	Programming Methodology (ENGR 70A)	
100	CS106B	Programming Abstractions (ENGR 70B)	Prerequisite: CS106A or equivalent. Summer quarter enrollment is limited; application required.
100	CS106L	Standard C++ Programming Laboratory	Prerequisite: consent of instructor. Corequisite: CS106B or CS106X.
100	CS106X	Programming Abstractions (Accelerated) (ENGR 70X)	Prerequisite: excellence in 106A or equivalent, or consent of instructor.
100	CS107	Computer Organization and Systems	Prerequisite: CS106B or X, or consent of instructor.
100	CS108	Object-Oriented Systems Design	Prerequisite: CS107.
100	CS109	Introduction to Probability for Computer Scientists	Prerequisite: CS103, CS106B or X, multivariate calculus at the level of MATH51 or CME 100 or equivalent.
100	CS109L	Statistical Computing with R Laboratory	
100	CS110	Principles of Computer Systems	Prerequisite: CS107.
100	CS116	From Nand to Tetris	Prerequisite: programming experience (Introduction to CSor equivalent).
100	CS121	Introduction to Artificial Intelligence	Prerequisite: CS103 or CS103B, and facility with differential calculus, vector algebra, and probability theory.
100	CS122	Artificial Intelligence: Philosophy, Ethics, & Impact (SYMSYS 122)	
100	CS124	From Languages to Information (LINGUIST 180, LINGUIST 280)	Prerequisite: CS103, CS107, CS109.
100	CS131	Computer Vision: Foundations and Applications	Prerequisite: Students should be familiar with Matlab (i.e. have programmed in Matlab before) and Linux; plus Calculus &amp; Linear Algebra.
100	CS140	Operating Systems and Systems Programming	Prerequisite: CS110.
100	CS142	Web Applications	Prerequisite: CS107, CS108.
100	CS143	Compilers	Prerequisite: CS103, CS103B, CS107.
100	CS144	Introduction to Computer Networking	Prerequisite: CS110.
100	CS145	Introduction to Databases	Prerequisite: CS103, CS107, equivalent.
100	CS147	Introduction to Human-Computer Interaction Design	Prerequisite: CS106B, CS106BX, equivalent.
100	CS147L	Human-Computer Interaction Technology Laboratory	
100	CS148	Introduction to Computer Graphics and Imaging	Prerequisite: CS107, MATH51.
100	CS149	Parallel Computing	
100	CS154	Introduction to Automata and Complexity Theory	Prerequisite: CS103, CS103B.
100	CS155	Computer and Network Security	Prerequisite: CS110. Recommended: Unix.
100	CS157	Logic and Automated Reasoning	Prerequisite: CS03, CS103B.
100	CS161	Design and Analysis of Algorithms	Prerequisite: CS103, CS103B, CS109, STATS116.
