	Course	Title	Description
100	EE100	The Electrical Engineering Profession	
100	EE101	Introduction to Circuits	Prerequisite: ENGR 40.
100	EE101A	Circuits I	Prerequisite: Physics 43
100	EE101B	Circuits II	Prerequisite: EE101A, EE102A.
100	EE101S	Circuits II	Prerequisite: 101A. Same as EE101B but with reduced work load.  Cannot be used to fulfill EEMS depth or breadth requirements.
100	EE102A	Signal Processing and Linear Systems I	Prerequisite: MATH 53 or ENGR 155A.
100	EE102B	Signal Processing and Linear Systems II	Prerequisite: EE102A.
100	EE103	Introduction to Matrix Methods (CME 103)	Prerequisite: MATH 51.
100	EE108	Digital System Design	
100	EE109	Digital Systems Design Lab	Prerequisite: 108B, and CS106B or X.
100	EE111	Electronics I	Prerequisite: Engineering 40. Corequisite: 101.
100	EE112	Electronics II	Prerequisite: 101, 102, 111.
100	EE113	Electronic Circuits	Prerequisite: 102, 112.
100	EE114	Fundamentals of Analog Integrated Circuit Design (EE214A)	Prerequisite: 101B. GER:DB-EngrAppSci
100	EE114S	Fundamentals of Analog Integrated Circuit Design	Prerequisite: 101B.
100	EE116	Semiconductor Device Physics	Prerequisite: ENGR 40. Corequisite: 101B.
100	EE118	Introduction to Mechatronics (ME 210)	Prerequisite: ENGR 40, CS106, or equivalents.
100	EE122	Analog Circuits Laboratory	Prerequisite: ENGR 40 or equivalent.
100	EE122A	Analog Circuits Laboratory	Prerequisite: basic electronics laboratory experience with solid working knowledge of circuit analysis, Fourier and Laplace methods.
100	EE122B	Introduction to Biomedical Electronics	Prerequisite: EE122A or equivalent hands-on mixed-signal design experience and solid working knowledge of EE122A topics (see course description).
100	EE124	Introduction to Neuroelectrical Engineering	Prerequisite: EE101A and EE102A.
100	EE133	Analog Communications Design Laboratory (EE233)	Prerequisite: EE101B. Undergraduate students enroll in EE133 and Graduate students enroll in EE233. Recommended: EE114/214A.
100	EE134	Introduction to Photonics	Prerequisite: 41 or equivalent.
100	EE136	Introduction to Nanophotonics and Nanostructures	Prerequisite: basic familiarity with electromagnetic and quantum mechanical waves and semiconductors at the level of EE41 or equivalent.
100	EE141M	Engineering Electromagnetics	Prerequisite: 102A, MATH 52.
100	EE142	Engineering Electromagnetics	
100	EE151	Sustainable Energy Systems	
100	EE152	Green Electronics	
100	EE153	Power Electronics (EE253)	
100	EE168	Introduction to Digital Image Processing	Prerequisite: Matlab programming.
